Player,,Goals ,Pen. ,O.g. ,Card ,Card ,Team 
1,D. Damjanovic,13,-,-,-,-,Kitchee SC
2,Stefan,12,1,-,2,-,Southern District
3,R. Mingazov,9,-,-,1,-,Kitchee SC
4,Everton Camargo,7,1,-,1,-,Lee Man FC
5,E. Camargo,6,-,-,2,-,Lee Man FC
6,Y. Kanda,6,2,-,-,-,HK Rangers
7,Mikael,6,-,-,4,-,Kitchee SC
8,R. Mingazow,6,1,-,-,-,Kitchee SC
9,M. Bleda,5,-,-,-,-,Lee Man FC
10,M. Gavilan,5,1,-,1,-,Lee Man FC
11,F. Sa,5,-,-,1,-,Resources Capital
12,Paulinho,4,-,-,2,-,Tai Po FC
13,P. Poon,4,-,-,2,-,Kitchee SC
14,Víctor Bertomeu,4,-,-,1,-,Eastern AA
15,Cleiton,3,-,-,3,-,Kitchee SC
16,Igor Sartori,3,1,-,-,-,Kitchee SC
17,Juninho,3,-,-,3,5,HK Rangers
18,Paulinho Simionato,3,-,-,2,-,Tai Po FC
19,S. Sasaki,3,2,-,1,-,Southern District
20,Sun Ming Him,3,-,-,-,-,Eastern AA
21,W. Wong,3,-,-,-,-,Resources Capital
22,Beto,2,-,-,3,-,Kitchee SC
23,Chan Hiu Fung Alex,2,-,-,-,-,Tai Po FC
24,Felipe Sá,2,-,-,2,-,Resources Capital
25,Fernando,2,-,-,-,-,Kitchee SC
26,Gil,2,-,-,-,-,Lee Man FC
27,Gil Martins,2,-,-,-,-,Lee Man FC
28,R. Hayashi,2,-,-,3,-,HK Rangers
29,M. K. Gondra,2,-,-,4,-,Eastern AA
30,M. Kim,2,-,-,1,-,HK Rangers
,,,,,,,
31,Lee Ka-Yiu,2,-,-,-,-,Southern District
32,M. Manias,2,-,-,-,-,Kitchee SC
33,Ngan Cheuk Pan,2,-,-,1,-,Kitchee SC
34,C. R. Wu,2,-,-,1,-,Eastern AA
35,C. Scott,2,1,-,1,-,Kitchee SC
36,M. Sun,2,-,-,-,-,Eastern AA
37,R. Tachibana,2,-,-,-,-,Lee Man FC
38,Yu Jesse Joy Yin,2,-,-,1,-,HK Rangers
39,F. A. Azevedo Pedreira,1,-,-,2,-,Kitchee SC
40,H. A. Wong,1,-,-,1,-,Eastern AA
41,N. Benavides Medeiros,1,-,-,1,-,Sham Shui Po SA
42,C. Benhaddouche,1,-,-,1,-,Kitchee SC
43,V. Bertomeu,1,-,-,3,-,Eastern AA
44,A. C. Jojo,1,-,-,-,-,Eastern AA
45,S. C. Wong,1,-,-,2,-,Hong Kong FC
46,Cassio,1,-,-,2,-,HK Rangers
47,Chan Hiu-Fung,1,-,-,4,-,Tai Po FC
48,Chang Hei Yin,1,-,-,-,-,Lee Man FC
49,C. Cheng,1,-,-,-,-,Kitchee SC
50,T. Cheng,1,-,-,1,-,Tai Po FC
51,Chu Wai Kwan,1,-,-,2,-,Sham Shui Po SA
52,Dudu,1,-,-,-,-,Southern District
53,A. Dujardin,1,-,-,3,-,Hong Kong FC
54,D. Eli,1,-,-,3,-,Lee Man FC
55,E. Estevez,1,-,-,-,-,Eastern AA
56,W. F. Leung,1,-,-,3,-,Hong Kong U23
57,Gabriel Moreira,1,-,-,3,-,Tai Po FC
58,K. Gul,1,-,-,-,-,HK Rangers
59,Jahangir Khan,1,-,-,2,-,Southern District
60,H. Jose de Souza Goncalves,1,-,-,2,-,Kitchee SC
61,Y. Ju,1,-,-,1,-,Southern District
62,S. K. Cheng,1,-,-,-,-,Lee Man FC
63,Z. Kangming,1,-,-,-,-,Eastern AA
64,N. Khan,1,-,-,-,-,Tai Po FC
65,T. Kozubaev,1,-,-,3,-,Eastern AA
66,Lam Chi Fung,1,-,-,-,-,Hong Kong U23
67,Lau Chi Lok,1,-,-,1,-,HK Rangers
68,Law Tsz-Chun,1,-,-,2,-,Kitchee SC
69,H. Lee,1,-,-,-,-,Lee Man FC
70,Leo,1,-,-,4,1,Hong Kong FC
71,K. Lo,1,-,-,-,-,HK Rangers
72,Lo Kwan Yee,1,-,-,2,-,HK Rangers
73,Luiz Humberto,1,-,-,-,-,Tai Po FC
74,Luizinho,1,-,-,-,-,Tai Po FC
75,H. M. Chang,1,-,-,1,-,Lee Man FC
76,C. M. Jean,1,-,-,-,-,Hong Kong FC
77,Manuel Bleda,1,-,-,-,-,Lee Man FC
78,Y. Nakamura,1,-,-,1,-,Lee Man FC
79,Pablo Gállego,1,-,-,2,-,Resources Capital
80,Remi Dujardin,1,-,-,2,-,Sham Shui Po SA
81,B. Sagynbaev,1,-,-,1,-,Kitchee SC
82,A. Sahaghian,1,-,-,1,-,Hong Kong FC
83,F. Schipper,1,-,-,-,-,Hong Kong FC
84,R. Scott,1,-,-,1,-,Hong Kong FC
85,Singh Kiranbir,1,-,-,-,-,Sham Shui Po SA
86,K. Siu,1,-,-,1,-,Hong Kong FC
87,M. Swainston,1,-,-,-,-,Eastern AA
88,F. Toomer,1,-,-,2,-,Hong Kong FC
89,Walter,1,-,-,-,-,HK Rangers
90,Wong Ho Chun Anson,1,-,-,-,-,Eastern AA
91,Wong Wai Kwok,1,-,-,1,-,Resources Capital
92,C. Yip,1,-,-,1,-,Resources Capital
93,Yip Cheuk Man,1,-,-,2,-,Resources Capital
94,J. Yu,1,-,-,1,-,HK Rangers
95,A. D. Chan,-,-,-,1,-,Hong Kong U23
96,A. Jojo,-,-,-,1,-,Eastern AA
97,A. Mahama,-,-,-,1,-,Southern District
98,Albert Canal,-,-,-,1,-,Resources Capital
99,B. Tandy Ortega,-,-,-,1,-,Resources Capital
100,C. M. Chan,-,-,-,3,-,Sham Shui Po SA
101,C. M. Cheung,-,-,-,1,-,Hong Kong U23
102,C. R. Lee,-,-,-,2,-,Hong Kong U23
103,C. T. Wong,-,-,-,3,1,Sham Shui Po SA
104,C. Tena,-,-,-,1,-,Resources Capital
105,C. Tsang,-,-,-,3,1,Resources Capital
106,Chak Ting Fung,-,-,-,2,-,Southern District
107,Cheng Tsz Sum,-,-,-,2,-,Tai Po FC
108,Chow Timothy Stephen,-,-,-,2,-,Hong Kong FC
109,Chung Wai Keung,-,-,-,1,-,Tai Po FC
110,D. Damjanović,-,-,-,2,-,Kitchee SC
111,Diego Eli,-,-,-,1,-,Lee Man FC
112,E. Wan-Mackey,-,-,-,1,-,Hong Kong FC
113,Emmet Wan,-,-,-,5,-,Hong Kong FC
114,F. Lopes,-,-,-,2,-,HK Rangers
115,Fernando Lopes,-,-,-,1,-,HK Rangers
116,Fung Hing-Wa,-,-,-,2,-,Lee Man FC
117,Gil Mineiro,-,-,-,1,-,Lee Man FC
118,Gondra,-,-,-,2,-,Eastern AA
119,H. D. Li,-,-,-,1,-,Tai Po FC
120,H. Harima,-,-,-,1,-,Resources Capital
121,H. Lai,-,-,-,1,-,Hong Kong U23
122,H. Lam,-,-,-,1,-,HK Rangers
123,H. R. Lau,-,-,-,1,-,Southern District
124,H. T. Yung,-,-,-,1,-,Tai Po FC
125,H. Y. Wong,-,-,-,2,-,Hong Kong U23
126,H. Yeung,-,-,-,1,-,Resources Capital
127,H. Yuen,-,-,-,1,-,Lee Man FC
128,Hirokane Harima,-,-,-,1,-,Resources Capital
129,Ho Chun Ting,-,-,-,2,-,Southern District
130,Hok Ming Lau,-,-,-,1,-,Southern District
131,I. Tang,-,-,-,2,-,Hong Kong U23
132,J. Angel,-,-,-,4,-,Lee Man FC
133,J. Kilama,-,-,-,1,-,HK Rangers
134,J. L. Acosta,-,-,-,1,-,Lee Man FC
135,J. Park,-,-,-,2,-,HK Rangers
136,J. Sealy,-,-,-,3,-,Hong Kong FC
137,Jaek-Yeong Kwon,-,-,-,1,-,Sham Shui Po SA
138,Jean Moser,-,-,-,1,-,Tai Po FC
139,Jean-Jacques Kilama,-,-,-,1,-,HK Rangers
140,João Emir,-,-,-,1,-,Tai Po FC
